Station Code,Station Name,Opening Date
NS1,Jurong East,10 March 1990
NS2,Bukit Batok,10 March 1990
NS3,Bukit Gombak,10 March 1990
NS4,Choa Chu Kang,10 March 1990
NS5,Yew Tee,10 February 1996
NS7,Kranji,10 February 1996
NS8,Marsiling,10 February 1996
NS9,Woodlands,10 February 1996
NS10,Admiralty,10 February 1996
NS11,Sembawang,10 February 1996
NS12,Canberra,December 2019
NS13,Yishun,20 December 1988
NS14,Khatib,20 December 1988
NS15,Yio Chu Kang,7 November 1987
NS16,Ang Mo Kio,7 November 1987
NS17,Bishan,7 November 1987
NS18,Braddell,7 November 1987
NS19,Toa Payoh,7 November 1987
NS20,Novena,12 December 1987
NS21,Newton,12 December 1987
NS22,Orchard,12 December 1987
NS23,Somerset,12 December 1987
NS24,Dhoby Ghaut,12 December 1987
NS25,City Hall,12 December 1987
NS26,Raffles Place,12 December 1987
NS27,Marina Bay,4 November 1989
NS28,Marina South Pier,23 November 2014
EW1,Pasir Ris,16 December 1989
EW2,Tampines,16 December 1989
EW3,Simei,16 December 1989
EW4,Bukit Gombak,4 November 1989
EW5,Bedok,4 November 1989
EW6,Kembangan,4 November 1989
EW7,Eunos,4 November 1989
EW8,Paya Lebar,4 November 1989
EW9,Aljunied,4 November 1989
EW10,Kallang,4 November 1989
EW11,Lavender,4 November 1989
EW12,Bugis,4 November 1989
EW13,City Hall,12 December 1987
EW14,Raffles Place,12 December 1987
EW15,Tanjong Pagar,12 December 1987
EW16,Outram Park,12 December 1987
EW17,Tiong Bahru,12 March 1988
EW18,Redhill,12 March 1988
EW19,Queenstown,12 March 1988
EW20,Commonwealth,12 March 1988
EW21,Buona Vista,12 March 1988
EW22,Dover,18 October 2001
EW23,Clementi,12 March 1988
EW24,Jurong East,5 November 1988
EW25,Chinese Garden,5 November 1988
EW26,Lakeside,5 November 1988
EW27,Boon Lay,6 July 1990
EW28,Pioneer,28 February 2009
EW29,Joo Koon,28 February 2009
EW30,Gul Circle,18 June 2017
EW31,Tuas Crescent,18 June 2017
EW32,Tuas West Road,18 June 2017
EW33,Tuas Link,18 June 2017
TE21,Marina South,31 December 2021
TE22,Gardens by the Bay,31 December 2021
TE23,Tanjong Rhu,31 December 2021
